PopupChinese.com – New HSK Level 3,,,,,
序号,词汇,繁体,拼音,英文翻译,词性
1,阿姨,阿姨,a1yi2,"maid, auntie",noun
2,啊,啊,a5,ah,int
3,矮,矮,ai3,short,adjective
4,爱好,愛好,ai4hao4,hobby,noun
5,安静,安靜,an1jing4,quiet,adjective
6,把,把,ba3,handle,noun
7,搬,搬,ban1,to move,verb
8,班,班,ban1,class,noun
9,半,半,ban4,half,noun
10,办法,辦法,ban4 fa3,method,noun
11,办公室,辦公室,ban4gong1shi4,office,noun
12,帮忙,幫忙,bang1mang2,to help,verb
13,包,包,bao1,bag,noun
14,饱,飽,bao3,full,noun (adjective)
15,报纸,報紙,bao4zhi3,newspaper,noun
16,北方,北方,bei3fang1,north,noun
17,被,被,bei4,by,preposition
18,鼻子,鼻子,bi2zi5,nose,noun
19,比较,比較,bi3jiao4,to compare,verb
20,比赛,比賽,bi3sai4,match,noun
21,必须,必須,bi4xu1,must,verb
22,变化,變化,bian4hua4,change ,noun
23,表示,表示,biao3shi4,to express,verb
24,表演,表演,biao3yan3,to perform,verb
25,别人,別人,bie2ren2,others,pronoun
26,宾馆,賓館,bin1guan3,hotel,noun
27,冰箱,冰箱,bing1xiang1,refrigerator,noun
28,才,才,cai2,just,adverb
29,菜单,菜單,cai4dan1 ,menu,noun
30,参加,參加,can1jia1,to attend,verb
31,草,草,cao3,grass,noun
32,层,層,ceng2,story,noun
33,差,差,cha4,bad (quality),adjective
34,超市,超市,chao1shi4 ,supermarket,noun
35,衬衫,襯衫,chen4shan1,shirt,noun
36,成绩,成績,cheng2ji4,score,noun
37,城市,城市,cheng2shi4,city,noun
38,迟到,遲到,chi2dao4,to be late ,verb
39,出现,出現,chu1xian4,to appear,verb
40,厨房,廚房,chu2fang2,kitchen,noun
41,除了,除了,chu2le5,except for,preposition
42,春,春,chun1,spring,noun
43,词语,詞語,ci2yu3,word,noun
44,聪明,聰明,cong1ming5,clever,noun
45,打扫,打掃,da3sao3,to clean,verb
46,打算,打算,da3suan4,plan,noun
47,带,帶,dai4,to bring,verb
48,担心,擔心,dan1xin1,to worry,verb
49,蛋糕,蛋糕,dan4gao1,cake,noun
50,当然,當然,dang1ran2,surely,adverb
51,灯,燈,deng1,light,noun
52,低,低,di1,low,adjective
53,地方,地方,di4fang1,local,adjective
54,地铁,地鐵,di4tie3,subway,noun
55,地图,地圖,di4tu2,map,noun
56,电梯,電梯,dian4ti1,elevator,noun
57,电子邮件,電子郵件,dian4zi3you2jian4,email,noun
58,东,東,dong1,east,noun
59,冬,冬,dong1,winter,noun
60,懂,懂,dong3,to understand,verb
61,动物,動物,dong4wu4,animal,noun
62,短,短,duan3,short,adjective
63,段,段,duan4,passage,noun
64,锻炼,鍛煉,duan4lian4,to work out,verb
65,多么,多麼,duo1me5,how,adverb
68,饿,餓,e4,to be hungry,verb
66,而且,而且,er2qie3,moreover,conjunction
67,耳朵,耳朵,er3duo5,ear,noun
69,发烧,發燒,fa1shao1,fever,noun
70,发现,發現,fa1xian4,to discover,verb
71,方便,方便,fang1bian4,convenience,noun
72,放,放,fang4,to put,verb
73,放心,放心,fang4xin1,to relax,verb
74,分,分,fen1,to divide,verb
75,附近,附近,fu4jin4,neighborhood,noun
76,复习,複習,fu4xi2,to review,verb
77,干净,乾淨,gan1jing4,clean,adjective
78,敢,敢,gan3,to dare  ,verb
79,感冒,感冒,gan3mao4,cold,noun
80,刚才,剛才,gang1cai2,just now,adverb
81,跟,跟,gen1,to follow,verb
82,根据,根據,gen1ju4,basis,noun
83,更,更,geng4,more,adverb
84,公园,公園,gong1yuan2,park,noun
85,故事,故事,gu4shi5,story,noun
86,刮风,颳風,gua1feng1,to blow,verb
87,关,關,guan1,to shut,verb
88,关系,關係、,guan1xi4,"connection, relation",noun
89,关心,關心,guan1xin1,to concern,verb
90,关于,關於,guan1yu2,regarding,preposition
91,国家,國家,guo2jia1,nation,noun
92,果汁,果汁,guo3zhi1 ,juice,noun
93,过去,過去,guo4qu4,past,adjective
94,还是,還是,hai2shi4,still,adjective
95,害怕,害怕,hai4pa4,to be scared,verb
96,河,河,he2,river,noun
97,黑板,黑板,hei1ban3,blackboard,noun
98,护照,護照,hu4zhao4,passport,noun
99,花,花,hua1,flower,noun
100,花园,花園,hua1yuan2,garden,noun
101,画,畫,hua4,painting,noun
102,坏,壞,huai4,bad,adjective
103,还,還,huan2,to return,adverb
104,环境,環境,huan2jing4,environment,noun
105,换,換,huan4,to change,verb
106,黄,黃,huang2,yellow,adjective
107,会议,會議,hui4yi4,meeting ,noun
108,或者,或者,huo4zhe3 ,or,adverb
109,几乎,幾乎,ji1hu1  ,nearly,adverb
110,机会,機會,ji1hui4,chance,noun
111,极,極,ji2,badly,adjective
112,记得,記得,ji4de5,to remember,verb
113,季节,季節,ji4jie2,season,noun
114,检查,檢查,jian3cha2,to examine,verb
115,简单,簡單,jian3dan1,simple,adjective
116,健康,健康,jian4kang1,health,noun
117,见面,見面,jian4mian4,to meet,verb
118,讲,講,jiang3,to speak,verb
119,教,教,jiao1,to teach,verb
120,角,角,jiao3,corner,noun
121,脚,腳,jiao3,foot,noun
122,接,接,jie1,to connect,verb
123,街道,街道,jie1dao4,street,noun
124,结婚,結婚,jie2hun1,to marry,verb
125,节目,節目,jie2mu4,program,noun
126,节日,節日,jie2ri4,festival,noun
127,结束,結束,jie2shu4,to finish,verb
128,解决,解決,jie3jue2,to solve,verb
129,借,借,jie4,to borrow,verb
130,经常,經常,jing1chang2,often ,adverb
131,经过,經過,jing1guo4,to pass,verb
132,经理,經理,jing1li3,manager,noun
133,久,久,jiu3,long (time),adjective
134,旧,舊,jiu4,old,adjective
